Games	Category	type	Price	Platform	Release area	Date
Apocalypse Rider - 6Dof	Game	Fitness| racing	$3.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
You, Calligrapher	App	Puzzle| simulation	$4.64	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea,No Japan	24/05/2022 00:00:00
RicoShooter - Neo2	Game	shooting	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
BATTLESCAR - Punk was invented by girls	App	other	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea	24/05/2022 00:00:00
Bait ! 	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Crisis VRigade	Game	shooting	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Bullet Roulette	Game	Puzzle	$6.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea	24/05/2022 00:00:00
Poly Star VR	Game	Puzzle	$6.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
The Curious Tale of the Stolen Pets	Game	Puzzle	$7.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
The Silent Doll	Game	Adventure	$7.42	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea,No Germany	24/05/2022 00:00:00
Wonderglade	Game	Puzzle	$7.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Dance Collider	Game	Music rhythm| sports fitness	$8.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Cave Digger	Game	Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Sep's Diner	Game	Puzzle| simulation	$8.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Party Pumper	Game	Music rhythm| simulation	$8.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Escape from Dungeon VR	Game	shooting	$8.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea,No Germany,No Japan	24/05/2022 00:00:00
Song Beater: Quite My Tempo!	Game	Music rhythm| sports fitness	$9.49	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Crazy Kung Fu	Game	Action fighting	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Reiko's Fragments	Game	Adventure	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Tsuro - The Game of The Path	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Shooty Skies Overdrive	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea	24/05/2022 00:00:00
Nature Treks	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Flying Hero VR	Game	Puzzle| racing	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Rocket Skates VR	Game	Fitness| racing	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Pangman	Game	shooting	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Descent Alps	Game	Simulation| racing	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Cubism	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Quest for Runia	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Paradiddle	App	Music rhythm| simulation	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Touring Karts	Game	Social| racing	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
DeathLap	Game	Shooting| multiplayer social| racing	$10.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Operation Warcade	Game	shooting	$12.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
The Secret of Retropolis	Game	Adventure	$12.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Jentrix 	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Puzzling Places	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
A Fisherman's Tale	Game	Adventure	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Cosmodread	Game	Adventure| role -playing	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Angry Birds VR:  Isle of Pigs	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
End Space	Game	shooting	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Yupitergrad	Game	Adventure	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
JUST HOOPS	Game	Workout	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Deisim	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Racket: Nx	Game	Workout	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Crisis Brigade 2 reloaded	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
MultiBrush	App	Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Hyper Dash INT	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
All-In-One Sports VR : Global	Game	Sports and fitness| Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Elven Assassin	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Eleven Table Tennis	Game	Sports fitness| simulation	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Warplanes: WW1 Fighters INT	Game	Shooting| simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Resist	Game	Shooting| role -playing	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Hitstream	Game	Workout	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
X-Fitness	Game	Workout	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Zombieland VR: Headshot Fever	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Death Horizon: Reloaded	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Cloudlands 2	Game	Workout	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Wind Wind	Game	Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Prison Boss VR	Game	Adventure	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Manny Boxing VR : Global	Game	Action fighting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Bartender VR Simulator	Game	Puzzle| simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Pixel Ripped 1995	Game	Adventure| role -playing	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea	24/05/2022 00:00:00
Horror Bar VR	Game	simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
PowerBeatsVR	Game	Workout	$22.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
SUPERHOT VR	Game	Puzzle| action fighting	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
SWARM	Game	shooting	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Red Matter	Game	Adventure	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Zero Caliber: Reloaded	Game	shooting	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Ragnarock	Game	Music rhythm	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
The Exorcist: Legion VR	Game	shooting	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	No Korea	24/05/2022 00:00:00
Tribe XR | DJ in VR	Game	Music rhythm| simulation	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
In Death: Unchained	Game	Shooting| Adventure	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Larcenauts Int	Game	Shooting| role -playing	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Demeo Global	Game	Social| role -playing	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Sam & Max: This Time It's Virtual!	Game	Puzzle| Adventure	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Dragon Fist: VR Kung Fu	Game	Action fighting	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
After the Fall®	Game	shooting	$39.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
Arizona Sunshine®	Game	shooting	$39.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
ALTDEUS: Beyond Chronos	Game	Adventure| role -playing	$39.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/05/2022 00:00:00
